0d
time=1486342027, type=1, code=78, value=458879
time=1486316491, type=1, code=78, value=458879
time=1486355978, type=1, code=78, value=458879
time=1486314047, type=1, code=78, value=458879
time=1486354063, type=1, code=78, value=458879
time=1486344907, type=1, code=78, value=458879
time=1486319370, type=1, code=78, value=458879
time=1486342990, type=1, code=78, value=458879
time=1486842427, type=1, code=78, value=458879
time=1486832587, type=1, code=78, value=458879
time=1486873099, type=1, code=78, value=458879
time=1486847562, type=1, code=78, value=458879
time=1486871178, type=1, code=78, value=458879
time=1486845627, type=1, code=78, value=458879
time=1486836491, type=1, code=78, value=458879
time=1486876479, type=1, code=78, value=458879
time=1486834559, type=1, code=78, value=458879
time=1486874570, type=1, code=78, value=458879
time=1486864910, type=1, code=78, value=458879
time=1486839370, type=1, code=78, value=458879
time=1486322255, type=1, code=78, value=458879
time=1486313099, type=1, code=78, value=458879
time=1486353087, type=1, code=78, value=458879
time=1486311179, type=1, code=78, value=458879
time=1486351179, type=1, code=78, value=458879
time=1486342031, type=1, code=78, value=458879
time=1486316495, type=1, code=78, value=458879
time=1486313999, type=1, code=78, value=458879
ed
time=1486834615, type=1, code=28, value=458879
time=1486341695, type=1, code=28, value=458879
time=1486316157, type=1, code=28, value=458879
time=1486356151, type=1, code=28, value=458879
time=1486346997, type=1, code=28, value=458879
time=1486321469, type=1, code=28, value=458879
time=1486345077, type=1, code=28, value=458879
time=1486319549, type=1, code=28, value=458879
time=1486310389, type=1, code=28, value=458879
time=1486350933, type=1, code=28, value=458879
time=1486308981, type=1, code=28, value=458879
time=1486348981, type=1, code=28, value=458879
time=1486323447, type=1, code=28, value=458879
time=1486838589, type=1, code=28, value=458879
time=1486878623, type=1, code=28, value=458879
time=1486836661, type=1, code=28, value=458879
time=1486876661, type=1, code=28, value=458879
time=1486867007, type=1, code=28, value=458879
time=1486841495, type=1, code=28, value=458879
time=1486865085, type=1, code=28, value=458879
time=1486839551, type=1, code=28, value=458879
time=1486879549, type=1, code=28, value=458879
time=1486870399, type=1, code=28, value=458879
time=1486844863, type=1, code=28, value=458879
time=1486868479, type=1, code=28, value=458879
time=1486318590, type=1, code=28, value=458879
time=1486341687, type=1, code=28, value=458879
time=1486316158, type=1, code=28, value=458879
time=1486356158, type=1, code=28, value=458879
time=1486347007, type=1, code=28, value=458879
time=1486321471, type=1, code=28, value=458879
time=1486345086, type=1, code=28, value=458879
time=1486319574, type=1, code=28, value=458879
time=1486310934, type=1, code=28, value=458879
time=1486350903, type=1, code=28, value=458879
time=1486308990, type=1, code=28, value=458879
time=1486349015, type=1, code=28, value=458879
time=1486323455, type=1, code=28, value=458879
time=1486838582, type=1, code=28, value=458879
time=1486878590, type=1, code=28, value=458879
time=1486836470, type=1, code=28, value=458879
time=1486876670, type=1, code=28, value=458879
